CÓDIGOS,TÍTULOS CONTÁBEIS,ATRIBUTOS,E,conta
1.3.9.10.01.40-1,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1391001401
1.3.9.10.01.70-0,(+/-) Ajuste de Hedge de Valor Justo,,-,1391001700
1.3.9.10.01.80-3,(+/-) Ajuste a Valor Justo,,-,1391001803
1.3.9.10.11.00-6,Outros Títulos de Renda Fixa Emprestados,,-,1391011006
1.3.9.10.11.10-9,Saldo Contábil Bruto,,-,1391011109
1.3.9.10.11.40-8,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1391011408
1.3.9.10.11.60-4,(-) Perda Esperada Associada ao Risco de Crédito,,-,1391011604
1.3.9.10.11.70-7,(+/-) Ajuste de Hedge de Valor Justo,,-,1391011707
1.3.9.10.11.80-0,(+/-) Ajuste a Valor Justo,,-,1391011800
1.3.9.10.30.00-1,Títulos de Renda Variável Emprestados,,-,1391030001
1.4.0.00.00.00-1,RELAÇÕES INTERFINANCEIRAS,,-,1400000001
1.4.1.00.00.00-8,Direitos Junto a Participantes de Sistema de Liquidação e de Arranjo de Pagamento,,-,1410000008
1.4.1.10.00.00-7,CHEQUES E OUTROS PAPÉIS A DEVOLVER,,158,1411000007
1.4.1.10.40.00-5,Liquidação Bilateral,,-,1411040005
1.4.1.10.90.00-0,Outros Sistemas de Liquidação,,-,1411090000
1.4.1.20.00.00-6,CHEQUES E OUTROS PAPÉIS A REMETER,,158,1412000006
1.4.1.20.40.00-4,Liquidação Bilateral,,-,1412040004
1.4.1.20.90.00-9,Outros Sistemas de Liquidação,,-,1412090009
1.4.1.30.00.00-5,CHEQUES E OUTROS PAPÉIS REMETIDOS,,158,1413000005
1.4.1.30.40.00-3,Liquidação Bilateral,,-,1413040003
1.4.1.30.90.00-8,Outros Sistemas de Liquidação,,-,1413090008
1.4.1.40.00.00-4,RECEBIMENTOS DE DOCUMENTOS ENVIADOS POR OUTROS PARTICIPANTES DO SISTEMA,,158,1414000004
1.4.1.40.40.00-2,Liquidação Bilateral,,-,1414040002
1.4.1.40.90.00-7,Outros Sistemas de Liquidação,,-,1414090007
1.4.1.50.00.00-3,TRANSAÇÕES DE PAGAMENTO,,158,1415000003
1.4.1.50.10.00-0,Valores a Receber Não Vinculados a Cessões,,-,1415010000
1.4.1.50.20.00-7,Valores a Receber Cedidos,,-,1415020007
1.4.1.50.30.00-4,Valores a Receber Adquiridos,,-,1415030004
1.4.1.65.00.00-7,TRANSAÇÕES DE PAGAMENTOS INSTANTÂNEOS,,158,1416500007
1.4.2.00.00.00-5,Créditos Vinculados,,-,1420000005
1.4.2.02.00.00-1,BANCO CENTRAL - DEPÓSITOS DE MOEDA ELETRÔNICA,,158,1420200001
1.4.2.06.00.00-3,BANCO CENTRAL - CONTA DE PAGAMENTO INSTANTÂNEO,,158,1420600003
1.4.2.10.00.00-4,BANCO CENTRAL - DEPÓSITOS EM MOEDAS ESTRANGEIRAS,,158,1421000004
1.4.2.15.00.00-9,BANCO CENTRAL - DEPÓSITOS PARA CAPITAL EM DINHEIRO,,158,1421500009
1.4.2.25.00.00-8,BANCO CENTRAL - RECOLHIMENTO DE RECURSOS DO CRÉDITO RURAL,,158,1422500008
1.4.2.28.00.00-7,RESERVAS COMPULSÓRIAS EM ESPÉCIE NO BANCO CENTRAL,,158,1422800007
